	Title	Call_Number
0	jung	174
1	witchcraft 	1583
2	psychology 	76.5
3	selling	636
4	associations	175.5
5	freud	121
6	infant psychology	723
7	underachievers	723
8	fludd	1598
9	behavioral electronics	210
10	temperament in children 	723
11	phrenology	870
12	genetic psychology	711
13	personality tests 	698.5
14	cognitive psychology 	201
15	social perception in children	723
16	expectation psychology	323
17	cognition	311
18	developmental psychology	713
19	conditioned response	319
20	intellect 	431
22	psychological tests	176
23	success	637
24	authority	18.02
25	psychoanalysis	175
26	witchcraft 	1583
27	brainwashing	633
28	human behavior	632.5
29	psychoanalysis and philosophy	175
30	trials witchcraft 	1576
31	social skills in children 	723
32	electronic behavior control	210
33	freud	173
34	psychoanalysis 	173
35	psychology	121
36	developmental psychology	713
37	maturation psychology 	710
38	ability	431
39	personality	698
40	intellect	431
41	shortterm memory	378
43	self	697
44	cognitive styles	311
45	clairvoyance	1325
46	creative ability 	408
47	children 	432
48	selfactualization psychology	637
49	consciousness	311
50	psychology 	113
51	comprehension 	325
52	freud	173
53	decision making	448
54	christian life	639
55	motor learning	295
57	cognition	311
58	memory	371
59	psychopharmacology 	207
60	clarke	721
62	interpersonal communication	637
63	verbal selfdefense	637
65	literature	1593
67	sex role 	692.2
69	occultism 	1407
70	sibling rivalry	723
71	cognition	18.02
73	adolescent psychology	724
74	self	697
75	shame	575
76	learning	318
77	feng shui 	1779
78	nature and nurture	341
79	psychology	636
80	psychoanalysis 	173
81	spiritual life	1999
82	masculinity 	692.5
83	happiness	575
84	spirituality 	162
85	crosscultural counseling 	637
86	psychometrics	39
87	fear	575
88	femininity	175.5
89	memory	371
90	psychology 	76.5
91	attention	321
92	thought and thinking	441
93	change psychology	637
94	representation psychoanalysis	175.5
95	consciousness	311
96	psychology 	38
97	freud	173
98	psychic trauma	175.5
99	context effects psychology	714
100	metacognition	311
101	magic	1622
102	judgment 	447
103	lacan	109
104	psychology 	76.4
105	bible 	1791
106	none	109
107	stress psychology	575
108	visual perception 	241
109	lacan	109
110	magic	1611
111	none	408
112	typology psychology	698.3
113	mental representation	316.6
114	memory	371
115	amulets	1561
116	psychology 	105
117	subconsciousness	315
118	repression psychology	175.5
119	cognitive psychology	201
120	memory 	378
121	genetic psychology	701
122	creation literary	408
123	collective memory	378
124	intellect	432
125	adjustment psychology	335
126	perception	311
127	watson	109
128	evolutionary psychology	698.95
129	control psychology	632.5
130	bateson	455
131	child psychology	721
132	prophecies occultism 	1793
133	psychology 	105
134	freud	173
135	plaut	109
136	piaget	723
137	discursive psychology	201.3
138	psychology 	38
139	attention	321
140	psychology 	38.5
141	teenagers and death	724.3
