	Title	Call_Number
0	jung c g carl gustav 18751961 psychoanalysis	174
1	witchcraft  germany  braunschweig region demonology  germany  braunschweig region	1583
2	psychology  qualitative research ethnology  methodology qualitative research	76.5
3	selling psychology applied	636
4	associations institutions etc stress psychology social groups leadership corporate culture organizational change psychic trauma group psychoanalysis psychotherapy group psychotherapy	175.5
5	freud sigmund 18561939 skinner b f burrhus frederic 19041990 rogers carl r carl ransom 19021987 psychoanalysis behaviorism psychology humanistic psychology	121
6	infant psychology	723
7	underachievers	723
8	fludd robert 15741637 renaissance  england england  intellectual life  17th century occultism  england  history  17th century hermetism  history  17th century	1598
9	behavioral electronics inc electronic behavior control  case studies new business enterprises  united states  case studies	210
10	temperament in children  longitudinal studies inhibition in children  longitudinal studies temperament  longitudinal studies inhibition  longitudinal studies nature and nurture  longitudinal studies	723
11	phrenology memory	870
12	genetic psychology	711
13	personality tests  united states personality tests for children  united states employees  psychological testing  united states	698.5
14	cognitive psychology  philosophy dualism  history	201
15	social perception in children social interaction in children families	723
16	expectation psychology hope mind and body emotions cognition thinking	323
17	cognition choice psychology	311
18	developmental psychology environmental psychology nature and nurture	713
19	conditioned response reinforcement psychology animals  food	319
20	intellect  genetic aspects nature and nurture	431
22	psychological tests	176
23	success awareness ability incentive psychology	637
24	authority control psychology men women	18.02
25	psychoanalysis sex psychology ego psychology death  psychological aspects hysteria narcissism	175
26	witchcraft  germany  history trials witchcraft  germany  history	1583
27	brainwashing	633
28	human behavior control psychology attention selfperception feedback psychology behaviorism psychology	632.5
29	psychoanalysis and philosophy psychoanalysis and literature	175
30	trials witchcraft  massachusetts  salem witchcraft  massachusetts  salem  history  17th century salem mass  social conditions	1576
31	social skills in children  study and teaching social interaction in children  study and teaching	723
32	electronic behavior control brain  localization of functions control psychology brain stimulation	210
33	freud sigmund 18561939 psychoanalysis	173
34	psychoanalysis  history	173
35	psychology adjustment psychology	121
36	developmental psychology	713
37	maturation psychology  history ethics  history developmental psychology  history	710
38	ability intellect typology psychology	431
39	personality	698
40	intellect	431
41	shortterm memory	378
43	self	697
44	cognitive styles learning strategies learning psychology of	311
45	clairvoyance theosophy reincarnation	1325
46	creative ability  case studies gifted persons  biography	408
47	children  intelligence testing ability  testing intelligence tests	432
48	selfactualization psychology	637
49	consciousness neuropsychology	311
50	psychology  early works to 1800	113
51	comprehension  testing educational psychology	325
52	freud sigmund 18561939 psychoanalysis  austria  history austria  civilization  book reviews	173
53	decision making judgment	448
54	christian life	639
55	motor learning	295
57	cognition developmental psychology	311
58	memory awareness human information processing	371
59	psychopharmacology  research behavioral assessment	207
60	clarke ann m ann margaret clarke a d b alan douglas benson people with mental disabilities developmental psychology child development	721
62	interpersonal communication	637
63	verbal selfdefense sex differences psychology verbal communication	637
65	literature medieval  history and criticism  congresses french literature  history and criticism  congresses magic in literature  congresses	1593
67	sex role  history	692.2
69	occultism  dictionaries occultism	1407
70	sibling rivalry brothers and sisters adulthood  psychological aspects	723
71	cognition perception conduct of life values ethics	18.02
73	adolescent psychology cognition in adolescence	724
74	self selfperception schemas psychology left and right psychology thought and thinking	697
75	shame guilt	575
76	learning psychology of psychoses neuroses mental illness	318
77	feng shui  china  history	1779
78	nature and nurture individual differences behavior genetics genetic psychology	341
79	psychology applied environmental psychology	636
80	psychoanalysis  united states psychoanalysis	173
81	spiritual life quantum theory  miscellanea quantum theory  psychological aspects	1999
82	masculinity  crosscultural studies masculinity	692.5
83	happiness happiness  united states	575
84	spirituality  psychological aspects mind and body psychology and religion spiritual life experience religion consciousness yoga	162
85	crosscultural counseling  great britain psychotherapy  great britain	637
86	psychometrics psychological tests	39
87	fear	575
88	femininity sex psychology gender identity life change events mothers  psychology women  psychology	175.5
89	memory recollection psychology memory  research  history recollection psychology  research  history psychology experimental  history truth	371
90	psychology  research  methodology psychology  statistical methods	76.5
91	attention selectivity psychology cognitive neuroscience visual perception	321
92	thought and thinking	441
93	change psychology new and old  psychological aspects risktaking psychology	637
94	representation psychoanalysis	175.5
95	consciousness intellect mind and body	311
96	psychology  philosophy science  philosophy physics  philosophy psychology  history science  history	38
97	freud sigmund 18561939 psychoanalysis	173
98	psychic trauma	175.5
99	context effects psychology decision making	714
100	metacognition social psychology	311
101	magic greek  early works to 1800 magic egyptian  early works to 1800 incantations  early works to 1800 charms  early works to 1800	1622
102	judgment  social aspects decision making social psychology knowledge sociology of	447
103	lacan jacques 19011981	109
104	psychology  moral and ethical aspects	76.4
105	bible  prophecies prophecies	1791
106	none	109
107	stress psychology	575
108	visual perception  history molyneux william 16561698 form perception  history touch  history	241
109	lacan jacques 19011981 psychoanalysis	109
110	magic magic  religious aspects magic  social aspects	1611
111	none	408
112	typology psychology personality somatotypes	698.3
113	mental representation attachment behavior object relations psychoanalysis	316.6
114	memory learning psychology of	371
