,Title,Call_Number
0,Jung C G Carl Gustav 18751961 Psychoanalysis,BF173-175:Psychoanalysis
1,Witchcraft  Germany  Braunschweig Region Demonology  Germany  Braunschweig Region,BF1562-1584:Witchcraft
2,Psychology  Qualitative research Ethnology  Methodology Qualitative research,BF65-172:Psychology
3,Selling Psychology Applied,BF636-637:Applied psychology
4,Associations institutions etc Stress Psychology Social groups Leadership Corporate culture Organizational change Psychic trauma Group psychoanalysis Psychotherapy Group psychotherapy,BF173-175:Psychoanalysis
5,Freud Sigmund 18561939 Skinner B F Burrhus Frederic 19041990 Rogers Carl R Carl Ransom 19021987 Psychoanalysis Behaviorism Psychology Humanistic psychology,BF65-172:Psychology
6,Infant psychology,BF712-724:Developmental psychology
7,Underachievers,BF712-724:Developmental psychology
8,Fludd Robert 15741637 Renaissance  England England  Intellectual life  17th century Occultism  England  History  17th century Hermetism  History  17th century,BF1585-1623:Magic. Hermetics. Necromancy
9,Behavioral Electronics inc Electronic behavior control  Case studies New business enterprises  United States  Case studies,BF210-230:Psychology
10,Temperament in children  Longitudinal studies Inhibition in children  Longitudinal studies Temperament  Longitudinal studies Inhibition  Longitudinal studies Nature and nurture  Longitudinal studies,BF712-724:Developmental psychology
11,Phrenology Memory,BF840-885:Physiognomy. Phrenology
12,Genetic psychology,BF699-711:Genetic Psychology
13,Personality tests  United States Personality tests for children  United States Employees  Psychological testing  United States,BF698:Personality
14,Cognitive psychology  Philosophy Dualism  History,BF199-202:Psychology
15,Social perception in children Social interaction in children Families,BF712-724:Developmental psychology
16,Expectation Psychology Hope Mind and body Emotions Cognition Thinking,BF309-499:Consciousness. Congition
17,Cognition Choice Psychology,BF309-499:Consciousness. Congition
18,Developmental psychology Environmental psychology Nature and nurture,BF712-724:Developmental psychology
19,Conditioned response Reinforcement Psychology Animals  Food,BF309-499:Consciousness. Congition
20,Intellect  Genetic aspects Nature and nurture,BF309-499:Consciousness. Congition
22,Psychological tests,BF176:Pyshological tests and testing
