,fullTitle,subjects,holdings
0,"Complex, archetype, symbol in the psychology of C. G. Jung / Translated from the German by Ralph Manheim.","Jung, C. G. (Carl Gustav), 1875-1961, Psychoanalysis",BF 174 .J85 J2936
1,Hexen- und Dämonenglaube im Lande Braunschweig : die Geschichte einer Verfolgung unter regionalem Aspekt / Joachim Lehrmann.,"Witchcraft -- Germany -- Braunschweig Region, Demonology -- Germany -- Braunschweig Region",BF 1583 .L44 1997
2,"Qualitative strategies for ethnocultural research / edited by Donna K. Nagata, Laura Kohn-Wood, and Lisa A. Suzuki.","Psychology -- Qualitative research, Ethnology -- Methodology, Qualitative research",BF 76.5 .Q355 2012
3,"The art of persuading people, by James A. Worsham.","Selling, Psychology, Applied",BF 636 .W6
4,Trauma and organizations / edited by Earl Hopper.,"Associations, institutions, etc, Stress (Psychology), Social groups, Leadership, Corporate culture, Organizational change, Psychic trauma, Group psychoanalysis, Psychotherapy, Group psychotherapy",BF 175.5 .P75 T73x 2012
5,"Three psychologies : perspectives from Freud, Skinner, and Rogers / Robert D. Nye.","Freud, Sigmund, 1856-1939, Skinner, B. F. (Burrhus Frederic), 1904-1990, Rogers, Carl R. (Carl Ransom), 1902-1987, Psychoanalysis, Behaviorism (Psychology), Humanistic psychology",BF 121 .N94 1991
6,Understanding infancy / Eleanor Willemsen with the assistance of Louise Nicholson.,Infant psychology,BF 723 .I6 W5
7,Underachievement syndrome : causes and cures / Sylvia B. Rimm.,Underachievers,BF 723 .P365 R56x 1986
8,Robert Fludd and the end of the Renaissance / William H. Huffman.,"Fludd, Robert, 1574-1637, Renaissance -- England, England -- Intellectual life -- 17th century, Occultism -- England -- History -- 17th century, Hermetism -- History -- 17th century",BF 1598 .F58 H83 1988
9,"Behavioral Electronics, Inc. / by Melvin J. Stanford.","Behavioral Electronics, inc, Electronic behavior control -- Case studies, New business enterprises -- United States -- Case studies",BF 210 .S72x 1972
10,The long shadow of temperament / Jerome Kagan & Nancy Snidman.,"Temperament in children -- Longitudinal studies, Inhibition in children -- Longitudinal studies, Temperament -- Longitudinal studies, Inhibition -- Longitudinal studies, Nature and nurture -- Longitudinal studies",BF 723 .T53 K345 2004
11,Memory and intellectual improvement applied to self-education and juvenile instruction / by O. S. Fowler.,"Phrenology, Memory",BF 870 .F7x 1847
12,The Development of mind / [by] A. J. P. Kenny [and others].,Genetic psychology,BF 711 .D4
13,"The cult of personality : how personality tests are leading us to miseducate our children, mismanage our companies, and misunderstand ourselves / Annie Murphy Paul.","Personality tests -- United States, Personality tests for children -- United States, Employees -- Psychological testing -- United States",BF 698.5 .P38 2004
14,Dualism : the original sin of cognitivism / William R. Uttal.,"Cognitive psychology -- Philosophy, Dualism -- History",BF 201 .U88 2004
15,The beginnings of social understanding / Judy Dunn.,"Social perception in children, Social interaction in children, Families",BF 723 .S6 D86x 1988b
16,Hope & despair : how perceptions of the future shape human behavior / Anthony Reading.,"Expectation (Psychology), Hope, Mind and body, Emotions, Cognition, Thinking",BF 323 .E8 R43 2004
17,Framework for a general theory of cognition and choice [by] Robert M. Axelrod.,"Cognition, Choice (Psychology)",BF 311 .A93
18,"Making human beings human : bioecological perspectives on human development / Urie Bronfenbrenner, editor.","Developmental psychology, Environmental psychology, Nature and nurture",BF 713 .M332 2005
19,"Predictability, correlation, and continuity / edited by Peter Harzem and Michael D. Zeiler.","Conditioned response, Reinforcement (Psychology), Animals -- Food",BF319 .P68
20,"Hommes supérieurs, hommes inférieurs? : la controverse sur l'hérédité de l'intelligence / Gérard Lemaine, Benjamin Matalon.","Intellect -- Genetic aspects, Nature and nurture",BF 431 .L45x 1985
21,None,None,None
22,Functional psychological testing : principles and instruments / edited by Raymond B. Cattell and Ronald C. Johnson.,Psychological tests,BF 176 .F86 1986
23,There are no dragons out there : the miracle of you and what you can become / A. David Thomas.,"Success, Awareness, Ability, Incentive (Psychology)",BF 637 .S8 T518 1986
24,The effects of power across gender / by Dyke E. Huish.,"Authority, Control (Psychology), Men, Women",BF 18.02 .H84 1990
25,"Sex, death and the super-ego : experiences in psychoanalysis / Ronald Britton.","Psychoanalysis, Sex (Psychology), Ego (Psychology), Death -- Psychological aspects, Hysteria, Narcissism",BF 175 .B87x 2003
26,Geschichte der Hexenprozesse : Holocaust und Massenpsychose vom 16.-18.Jahrhundert / Hans-Jürgen Wolf.,"Witchcraft -- Germany -- History, Trials (Witchcraft) -- Germany -- History",BF 1583 .W65 1995
27,"The rape of the mind; the psychology of thought control, menticide, and brainwashing / Joost A. M. Meerloo.",Brainwashing,BF 633 .M4
28,"Attention and self-regulation : a control-theory approach to human behavior / Charles S. Carver, Michael F. Scheier.","Human behavior, Control (Psychology), Attention, Self-perception, Feedback (Psychology), Behaviorism (Psychology)",BF632.5 .C37
29,Critique des raisons psychanalytiques / Yvon Brès.,"Psychoanalysis and philosophy, Psychoanalysis and literature",BF 175 .B67x 1985
30,The devil's disciples : makers of the Salem witchcraft trials / Peter Charles Hoffer.,"Trials (Witchcraft) -- Massachusetts -- Salem, Witchcraft -- Massachusetts -- Salem -- History -- 17th century, Salem (Mass.) -- Social conditions",BF 1576 .H633x 1996
31,"Getting along with others : teaching social effectiveness to children / Nancy F. Jackson, Donald A. Jackson, Cathy Monroe.","Social skills in children -- Study and teaching, Social interaction in children -- Study and teaching",BF 723 .S62 J25 1983 vol.1
32,Using the whole brain : integrating the right and left brain with Hemi-Sync sound patterns / edited by Ronald Russell.,"Electronic behavior control, Brain -- Localization of functions, Control (Psychology), Brain stimulation",BF 210 .U846x 1993
